xSOM,ySOM,R,G,B,label
12.982,18.112,169.335,109.571,39.844,-1.000
13.360,17.822,169.335,109.571,39.844,-1.000
12.937,17.609,169.335,109.571,39.844,-1.000
12.916,18.400,169.335,109.571,39.844,-1.000
11.726,17.863,0.000,0.000,0.000,0.000
11.991,17.978,0.000,0.000,0.000,0.000
11.811,18.157,0.000,0.000,0.000,0.000
12.354,17.945,0.000,0.000,0.000,0.000
16.887,18.785,244.043,129.492,47.812,1.000
6.125,19.031,244.043,129.492,47.812,1.000
18.340,17.097,244.043,129.492,47.812,1.000
9.007,19.326,244.043,129.492,47.812,1.000
7.012,14.155,127.500,127.500,127.500,2.000
6.084,14.318,127.500,127.500,127.500,2.000
9.031,13.150,127.500,127.500,127.500,2.000
7.074,14.148,127.500,127.500,127.500,2.000
13.713,13.223,229.102,24.903,74.707,3.000
16.360,12.283,229.102,24.903,74.707,3.000
16.741,14.622,229.102,24.903,74.707,3.000
14.095,13.647,229.102,24.903,74.707,3.000
5.826,18.673,59.767,179.298,74.707,4.000
6.699,16.912,59.767,179.298,74.707,4.000
4.790,19.270,59.767,179.298,74.707,4.000
5.279,17.355,59.767,179.298,74.707,4.000
10.762,13.654,0.000,129.492,199.219,5.000
11.881,15.376,0.000,129.492,199.219,5.000
14.682,11.389,0.000,129.492,199.219,5.000
11.709,15.243,0.000,129.492,199.219,5.000
6.607,19.369,254.003,224.122,24.903,6.000
7.919,17.957,254.003,224.122,24.903,6.000
9.292,17.000,254.003,224.122,24.903,6.000
6.319,14.368,254.003,224.122,24.903,6.000
10.191,14.301,249.023,189.258,189.258,7.000
5.759,19.341,249.023,189.258,189.258,7.000
9.638,14.044,249.023,189.258,189.258,7.000
9.639,13.199,249.023,189.258,189.258,7.000
6.014,15.078,69.727,239.062,239.062,8.000
7.784,18.331,69.727,239.062,239.062,8.000
10.835,17.091,69.727,239.062,239.062,8.000
9.215,17.963,69.727,239.062,239.062,8.000
19.013,14.044,169.335,109.571,39.844,0.000
14.929,15.638,169.335,109.571,39.844,0.000
8.392,17.082,169.335,109.571,39.844,0.000
19.384,17.677,169.335,109.571,39.844,0.000
9.721,19.084,0.000,0.000,0.000,1.000
9.000,18.342,0.000,0.000,0.000,1.000
9.109,18.375,0.000,0.000,0.000,1.000
11.909,19.040,0.000,0.000,0.000,1.000
4.311,16.896,244.043,129.492,47.812,2.000
17.838,17.669,244.043,129.492,47.812,2.000
5.224,18.921,244.043,129.492,47.812,2.000
16.359,19.129,244.043,129.492,47.812,2.000
5.189,15.354,127.500,127.500,127.500,3.000
4.763,11.644,127.500,127.500,127.500,3.000
16.287,19.339,127.500,127.500,127.500,3.000
8.850,12.819,127.500,127.500,127.500,3.000
13.125,10.974,229.102,24.903,74.707,4.000
11.230,14.795,229.102,24.903,74.707,4.000
12.174,12.364,229.102,24.903,74.707,4.000
13.083,11.301,229.102,24.903,74.707,4.000
12.257,17.790,59.767,179.298,74.707,5.000
12.149,16.660,59.767,179.298,74.707,5.000
11.896,16.744,59.767,179.298,74.707,5.000
11.686,16.055,59.767,179.298,74.707,5.000
14.786,18.220,0.000,129.492,199.219,6.000
14.689,10.112,0.000,129.492,199.219,6.000
10.929,11.776,0.000,129.492,199.219,6.000
9.190,13.911,0.000,129.492,199.219,6.000
12.316,10.105,254.003,224.122,24.903,7.000
15.347,14.825,254.003,224.122,24.903,7.000
12.815,14.218,254.003,224.122,24.903,7.000
11.763,10.329,254.003,224.122,24.903,7.000
10.046,13.854,249.023,189.258,189.258,8.000
17.102,16.631,249.023,189.258,189.258,8.000
8.871,11.142,249.023,189.258,189.258,8.000
15.978,16.931,249.023,189.258,189.258,8.000
11.321,10.802,69.727,239.062,239.062,9.000
11.844,14.974,69.727,239.062,239.062,9.000
10.926,10.993,69.727,239.062,239.062,9.000
11.655,11.003,69.727,239.062,239.062,9.000
