xIris,yIris,R,G,B
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,3,255,0,0
5,5,255,0,0
5,3,255,0,0
5,2,255,0,0
4,3,255,0,0
5,5,255,0,0
5,5,255,0,0
5,2,255,0,0
5,2,255,0,0
5,1,255,0,0
4,4,255,0,0
5,2,255,0,0
3,3,255,0,0
4,4,255,0,0
3,3,255,0,0
5,5,255,0,0
3,4,255,0,0
3,4,255,0,0
5,5,255,0,0
3,5,255,0,0
5,3,255,0,0
5,3,255,0,0
3,5,255,0,0
3,5,255,0,0
5,2,255,0,0
4,1,255,0,0
5,1,255,0,0
5,5,255,0,0
5,5,255,0,0
5,3,255,0,0
3,5,255,0,0
2,5,255,0,0
4,3,255,0,0
3,3,255,0,0
2,5,255,0,0
2,4,255,0,0
3,2,255,0,0
3,1,255,0,0
3,5,255,0,0
4,1,255,0,0
2,4,255,0,0
5,1,255,0,0
5,5,255,0,0
0,4,0,255,0
0,4,0,255,0
0,4,0,255,0
1,5,0,255,0
0,4,0,255,0
1,4,0,255,0
0,4,0,255,0
2,4,0,255,0
0,4,0,255,0
1,5,0,255,0
2,4,0,255,0
0,4,0,255,0
1,5,0,255,0
0,4,0,255,0
1,3,0,255,0
0,4,0,255,0
0,3,0,255,0
1,5,0,255,0
0,5,0,255,0
2,4,0,255,0
0,3,0,255,0
1,5,0,255,0
0,4,0,255,0
0,4,0,255,0
0,5,0,255,0
0,4,0,255,0
0,4,0,255,0
0,4,0,255,0
1,3,0,255,0
2,5,0,255,0
2,4,0,255,0
2,5,0,255,0
2,4,0,255,0
0,3,0,255,0
1,3,0,255,0
0,3,0,255,0
0,5,0,255,0
1,5,0,255,0
2,4,0,255,0
2,4,0,255,0
2,4,0,255,0
0,3,0,255,0
2,4,0,255,0
3,5,0,255,0
2,4,0,255,0
1,3,0,255,0
1,3,0,255,0
0,4,0,255,0
3,3,0,255,0
1,4,0,255,0
0,2,0,0,255
0,3,0,0,255
0,3,0,0,255
0,3,0,0,255
0,3,0,0,255
0,3,0,0,255
2,4,0,0,255
0,3,0,0,255
0,3,0,0,255
0,3,0,0,255
0,2,0,0,255
1,3,0,0,255
0,3,0,0,255
1,4,0,0,255
1,3,0,0,255
0,2,0,0,255
0,4,0,0,255
0,3,0,0,255
0,3,0,0,255
1,4,0,0,255
0,2,0,0,255
1,4,0,0,255
0,3,0,0,255
1,4,0,0,255
0,2,0,0,255
0,3,0,0,255
1,4,0,0,255
1,4,0,0,255
1,3,0,0,255
0,3,0,0,255
0,3,0,0,255
0,3,0,0,255
1,3,0,0,255
1,4,0,0,255
1,4,0,0,255
0,3,0,0,255
1,3,0,0,255
1,3,0,0,255
2,3,0,0,255
0,4,0,0,255
1,3,0,0,255
1,2,0,0,255
1,4,0,0,255
0,3,0,0,255
0,3,0,0,255
1,2,0,0,255
1,4,0,0,255
1,2,0,0,255
1,2,0,0,255
1,4,0,0,255
